id,benefits,resources,mhd,coworker_chat,support_options,age,sex,race
732,No,,,,No,24.0,Male,
733,Don't know,,,,Yes,29.0,Male,
734,Yes,,,,No,31.0,Male,
736,No,,,,No,33.0,Male,
737,Yes,,,,No,43.0,Male,
738,Don't know,,,,No,33.0,Male,
739,No,,,,No,27.0,Male,
740,Don't know,,,,Yes,36.0,Male,
741,No,,,,No,37.0,Male,
742,No,,,,No,32.0,Male,
743,No,,,,No,39.0,Male,
744,Yes,,,,No,31.0,Male,
745,Yes,,,,Yes,36.0,Male,
746,Don't know,,,,Yes,30.0,Male,
747,Yes,,,,No,28.0,Male,
748,No,,,,No,32.0,Male,
749,Yes,,,,No,35.0,Male,
750,Don't know,,,,No,19.0,Male,
751,Yes,,,,No,33.0,Male,
752,Don't know,,,,Yes,42.0,Male,
753,Don't know,,,,No,37.0,Male,
754,No,,,,No,40.0,Male,
755,Yes,,,,No,36.0,Male,
756,Don't know,,,,Yes,29.0,Female,
757,Yes,,,,No,38.0,Female,
758,Yes,,,,No,26.0,Male,
759,No,,,,No,34.0,Male,
760,No,,,,No,21.0,Male,
761,No,,,,Yes,31.0,Male,
762,Yes,,,,No,37.0,Female,
763,No,,,,No,37.0,Male,
764,No,,,,No,38.0,Male,
765,Don't know,,,,No,27.0,Female,
766,No,,,,No,39.0,Male,
767,Yes,,,,No,33.0,Female,
768,Don't know,,,,No,27.0,Male,
769,Yes,,,,Yes,36.0,Female,
770,Don't know,,,,No,28.0,Male,
771,Don't know,,,,No,39.0,Male,
772,No,,,,Yes,33.0,Male,
773,Don't know,,,,No,32.0,Male,
774,Don't know,,,,No,28.0,Male,
775,No,,,,No,37.0,Male,
776,Yes,,,,No,39.0,Male,
777,Don't know,,,,Yes,43.0,Male,
778,Don't know,,,,No,32.0,Others,
779,Don't know,,,,No,27.0,Female,
780,Don't know,,,,No,31.0,Female,
781,Don't know,,,,No,43.0,Male,
782,No,,,,Yes,33.0,Male,
783,Don't know,,,,No,34.0,Male,
784,Don't know,,,,No,33.0,Male,
785,Don't know,,,,No,25.0,Male,
786,Yes,,,,No,25.0,Male,
787,No,,,,No,32.0,Male,
788,Yes,,,,No,25.0,Male,
789,Don't know,,,,Yes,37.0,Male,
790,Yes,,,,No,39.0,Male,
791,Don't know,,,,No,29.0,Male,
792,Yes,,,,No,33.0,Male,
793,Don't know,,,,Yes,37.0,Female,
794,Yes,,,,No,35.0,Female,
795,Don't know,,,,No,22.0,Female,
796,Yes,,,,No,38.0,Male,
797,Yes,,,,No,32.0,Female,
798,Don't know,,,,No,28.0,Male,
799,No,,,,No,27.0,Male,
800,Don't know,,,,Yes,35.0,Female,
801,Yes,,,,No,29.0,Male,
802,No,,,,No,23.0,Male,
803,Yes,,,,Yes,39.0,Male,
804,Yes,,,,No,30.0,Female,
805,Don't know,,,,No,32.0,Male,
806,No,,,,No,28.0,Others,
807,Yes,,,,No,40.0,Female,
808,Don't know,,,,No,36.0,Female,
809,Don't know,,,,Yes,27.0,Male,
810,Yes,,,,No,41.0,Male,
811,Don't know,,,,No,29.0,Male,
812,No,,,,No,29.0,Male,
813,No,,,,No,35.0,Male,
814,No,,,,Yes,28.0,Male,
815,Don't know,,,,Yes,36.0,Female,
816,Don't know,,,,No,39.0,Female,
817,Yes,,,,No,39.0,Male,
818,No,,,,Yes,44.0,Male,
819,No,,,,Yes,26.0,Others,
820,No,,,,No,35.0,Male,
821,Yes,,,,No,40.0,Female,
822,No,,,,No,35.0,Male,
823,No,,,,Yes,38.0,Male,
824,Don't know,,,,Yes,34.0,Male,
825,Yes,,,,No,43.0,Male,
826,Don't know,,,,No,48.0,Female,
827,Don't know,,,,No,20.0,Male,
828,Don't know,,,,Yes,40.0,Male,
829,Don't know,,,,No,29.0,Female,
830,No,,,,No,35.0,Male,
831,Yes,,,,Yes,29.0,Male,
832,Yes,,,,No,40.0,Male,
833,No,,,,No,29.0,Male,
834,Yes,,,,No,29.0,Female,
835,No,,,,No,34.0,Male,
836,Don't know,,,,No,44.0,Male,
837,Yes,,,,No,24.0,Female,
838,Don't know,,,,Yes,47.0,Female,
839,Don't know,,,,No,43.0,Male,
840,Yes,,,,No,36.0,Male,
841,Don't know,,,,No,43.0,Male,
842,No,,,,Yes,36.0,Male,
843,Yes,,,,No,31.0,Female,
844,Don't know,,,,No,35.0,Male,
845,Yes,,,,No,33.0,Male,
846,Don't know,,,,No,37.0,Male,
847,Don't know,,,,No,34.0,Male,
848,No,,,,No,36.0,Male,
849,No,,,,Yes,40.0,Male,
850,Yes,,,,No,40.0,Male,
851,No,,,,Yes,42.0,Male,
852,Yes,,,,Yes,23.0,Male,
853,No,,,,No,21.0,Male,
854,No,,,,Yes,26.0,Male,
855,Don't know,,,,No,31.0,Male,
856,Yes,,,,No,25.0,Male,
857,Yes,,,,Yes,51.0,Male,
858,Don't know,,,,No,24.0,Male,
859,No,,,,No,33.0,Male,
860,No,,,,No,32.0,Male,
861,No,,,,No,32.0,Male,
862,No,,,,Yes,26.0,Male,
863,Don't know,,,,No,23.0,Male,
864,No,,,,Yes,33.0,Male,
865,Yes,,,,No,46.0,Male,
866,No,,,,Yes,34.0,Male,
867,Yes,,,,No,35.0,Male,
868,No,,,,Yes,39.0,Male,
869,No,,,,Yes,32.0,Male,
870,Don't know,,,,Yes,43.0,Male,
871,Yes,,,,Yes,56.0,Male,
872,Don't know,,,,No,32.0,Female,
873,Yes,,,,No,41.0,Male,
874,Don't know,,,,Yes,39.0,Male,
875,Yes,,,,No,37.0,Male,
876,Don't know,,,,Yes,30.0,Male,
877,Yes,,,,No,31.0,Male,
878,Don't know,,,,No,29.0,Male,
879,No,,,,No,23.0,Female,
880,Yes,,,,No,31.0,Male,
881,Don't know,,,,No,29.0,Male,
882,Yes,,,,Yes,30.0,Male,
883,Yes,,,,Yes,37.0,Male,
884,Yes,,,,No,36.0,Male,
885,Yes,,,,Yes,35.0,Male,
886,Don't know,,,,Yes,41.0,Male,
887,Don't know,,,,No,31.0,Male,
888,Yes,,,,No,38.0,Male,
889,No,,,,No,26.0,Male,
890,Yes,,,,No,39.0,Male,
891,Yes,,,,Yes,42.0,Male,
892,No,,,,Yes,32.0,Male,
893,Don't know,,,,No,29.0,Male,
894,Yes,,,,No,30.0,Male,
895,Don't know,,,,Yes,40.0,Male,
896,Don't know,,,,No,51.0,Male,
897,Yes,,,,No,33.0,Male,
898,No,,,,Yes,34.0,Male,
899,No,,,,Yes,50.0,Male,
900,Don't know,,,,Yes,24.0,Male,
901,No,,,,No,25.0,Male,
902,No,,,,No,43.0,Male,
903,Yes,,,,No,25.0,Female,
904,No,,,,Yes,24.0,Male,
905,No,,,,No,51.0,Male,
906,Yes,,,,No,49.0,Male,
907,Yes,,,,Yes,30.0,Male,
908,Yes,,,,No,25.0,Female,
909,Yes,,,,Yes,36.0,Male,
910,Yes,,,,No,48.0,Male,
911,No,,,,No,48.0,Male,
912,Yes,,,,Yes,53.0,Male,
913,No,,,,Yes,24.0,Female,
914,Don't know,,,,No,33.0,Male,
915,Yes,,,,No,25.0,Female,
916,No,,,,No,30.0,Male,
917,No,,,,Yes,30.0,Male,
918,No,,,,Yes,34.0,Male,
919,Yes,,,,Yes,31.0,Male,
920,Don't know,,,,No,22.0,Female,
921,Don't know,,,,No,28.0,Male,
922,Yes,,,,No,35.0,Male,
923,Yes,,,,No,28.0,Male,
924,No,,,,No,42.0,Male,
925,Yes,,,,No,33.0,Male,
926,Yes,,,,No,29.0,Male,
927,Yes,,,,No,43.0,Male,
928,Yes,,,,No,29.0,Male,
929,Yes,,,,Yes,25.0,Male,
930,Don't know,,,,No,31.0,Male,
931,Yes,,,,No,35.0,Female,
932,Don't know,,,,No,34.0,Male,
933,Yes,,,,Yes,43.0,Male,
934,No,,,,No,38.0,Male,
935,Don't know,,,,No,26.0,Male,
936,No,,,,Yes,38.0,Male,
937,Don't know,,,,No,42.0,Male,
938,Don't know,,,,No,33.0,Male,
939,Yes,,,,No,32.0,Male,
940,Yes,,,,Yes,44.0,Male,
941,Yes,,,,No,28.0,Male,
942,Yes,,,,Yes,40.0,Male,
943,Yes,,,,No,31.0,Female,
944,Yes,,,,No,32.0,Male,
945,Don't know,,,,No,28.0,Male,
946,Yes,,,,No,39.0,Male,
947,Yes,,,,No,45.0,Male,
948,Yes,,,,No,43.0,Male,
949,Yes,,,,No,35.0,Male,
950,Yes,,,,No,40.0,Male,
951,No,,,,No,34.0,Male,
952,Don't know,,,,No,24.0,Male,
953,No,,,,Yes,61.0,Male,
954,Don't know,,,,No,36.0,Female,
955,No,,,,No,38.0,Male,
956,Don't know,,,,No,33.0,Male,
957,Don't know,,,,No,30.0,Male,
958,Yes,,,,Yes,34.0,Male,
959,Yes,,,,No,26.0,Male,
960,Don't know,,,,No,33.0,Male,
961,Don't know,,,,No,32.0,Male,
962,No,,,,Yes,25.0,Male,
963,Don't know,,,,Yes,35.0,Male,
964,Don't know,,,,Yes,24.0,Male,
965,Yes,,,,No,55.0,Male,
966,No,,,,Yes,33.0,Male,
967,No,,,,Yes,26.0,Female,
968,Don't know,,,,Yes,25.0,Male,
969,Don't know,,,,No,45.0,Male,
970,No,,,,Yes,33.0,Female,
971,No,,,,Yes,43.0,Male,
972,No,,,,No,30.0,Male,
973,Don't know,,,,No,40.0,Male,
974,Yes,,,,No,49.0,Male,
975,Don't know,,,,No,29.0,Male,
976,Don't know,,,,No,26.0,Male,
977,Yes,,,,No,38.0,Male,
978,Yes,,,,No,27.0,Male,
979,Yes,,,,No,26.0,Male,
980,No,,,,No,28.0,Male,
981,No,,,,Yes,40.0,Male,
982,No,,,,Yes,37.0,Female,
983,Yes,,,,Yes,34.0,Female,
984,Don't know,,,,No,28.0,Male,
985,Yes,,,,No,27.0,Male,
986,No,,,,Yes,29.0,Male,
987,Don't know,,,,Yes,39.0,Female,
988,No,,,,No,28.0,Male,
989,Yes,,,,No,23.0,Male,
991,No,,,,Yes,38.0,Male,
992,Yes,,,,No,19.0,Male,
993,Yes,,,,No,30.0,Female,
994,No,,,,Yes,28.0,Male,
995,Don't know,,,,No,20.0,Male,
996,Don't know,,,,No,35.0,Male,
997,Yes,,,,Yes,39.0,Male,
998,Yes,,,,No,31.0,Female,
999,No,,,,No,32.0,Male,
1000,No,,,,No,27.0,Male,
1001,Yes,,,,Yes,25.0,Male,
1002,Don't know,,,,Yes,42.0,Male,
1003,Yes,,,,No,34.0,Male,
1004,Don't know,,,,Yes,26.0,Female,
1005,No,,,,No,35.0,Male,
1006,Don't know,,,,No,34.0,Male,
1007,Yes,,,,Yes,38.0,Male,
1008,Don't know,,,,No,34.0,Male,
1009,No,,,,Yes,39.0,Male,
1010,Don't know,,,,No,44.0,Female,
1011,Yes,,,,No,40.0,Male,
1012,No,,,,Yes,33.0,Female,
1013,Yes,,,,No,24.0,Female,
1014,Don't know,,,,Yes,38.0,Female,
1015,Yes,,,,No,31.0,Male,
1016,Don't know,,,,No,23.0,Male,
1017,Don't know,,,,No,26.0,Female,
1018,Yes,,,,No,46.0,Others,
1019,Yes,,,,Yes,30.0,Male,
1020,Don't know,,,,Yes,25.0,Male,
1021,Don't know,,,,Yes,19.0,Male,
1022,Yes,,,,No,30.0,Female,
1023,Yes,,,,No,32.0,Male,
1024,No,,,,No,32.0,Male,
1025,Don't know,,,,Yes,37.0,Male,
1026,Don't know,,,,Yes,42.0,Male,
1027,Yes,,,,No,25.0,Female,
1028,Don't know,,,,No,19.0,Male,
1029,Yes,,,,Yes,40.0,Female,
1030,Yes,,,,No,34.0,Male,
1031,Don't know,,,,No,26.0,Male,
1032,Don't know,,,,No,31.0,Male,
1033,Yes,,,,Yes,40.0,Male,
1034,No,,,,No,31.0,Female,
1035,Don't know,,,,No,36.0,Male,
1036,No,,,,Yes,35.0,Male,
1037,No,,,,Yes,26.0,Male,
1038,Don't know,,,,Yes,44.0,Male,
1039,No,,,,No,34.0,Female,
1040,No,,,,Yes,35.0,Male,
1041,Don't know,,,,Yes,28.0,Female,
1042,Yes,,,,Yes,33.0,Male,
1043,Yes,,,,Yes,40.0,Male,
1044,Yes,,,,No,26.0,Male,
1045,Yes,,,,No,29.0,Female,
1046,Yes,,,,No,26.0,Female,
1047,No,,,,No,33.0,Male,
1048,No,,,,No,28.0,Male,
1049,No,,,,Yes,41.0,Male,
1050,No,,,,Yes,39.0,Male,
1051,Yes,,,,No,26.0,Female,
1052,No,,,,No,23.0,Female,
1053,Don't know,,,,No,35.0,Male,
1054,Don't know,,,,Yes,36.0,Male,
1055,Don't know,,,,No,42.0,Male,
1056,Yes,,,,No,39.0,Male,
1057,Don't know,,,,No,27.0,Male,
1058,Don't know,,,,Yes,33.0,Male,
1059,Yes,,,,No,31.0,Male,
1060,Yes,,,,No,28.0,Female,
1061,Yes,,,,Yes,29.0,Female,
1062,Don't know,,,,No,27.0,Male,
1063,Don't know,,,,Yes,44.0,Male,
1064,Don't know,,,,Yes,25.0,Male,
1065,No,,,,No,24.0,Male,
1066,Don't know,,,,No,25.0,Male,
1067,Yes,,,,Yes,34.0,Male,
1068,Yes,,,,No,26.0,Male,
1069,Yes,,,,No,48.0,Male,
1070,No,,,,Yes,34.0,Male,
1071,No,,,,Yes,39.0,Female,
1072,Yes,,,,Yes,43.0,Male,
1073,Yes,,,,No,41.0,Male,
1074,Don't know,,,,No,25.0,Male,
1075,Yes,,,,No,31.0,Male,
1076,Yes,,,,No,40.0,Male,
1077,Yes,,,,Yes,43.0,Male,
1078,Yes,,,,No,27.0,Female,
1079,Yes,,,,Yes,37.0,Female,
1080,No,,,,No,32.0,Male,
1081,No,,,,No,25.0,Male,
1082,Don't know,,,,No,29.0,Male,
1083,Yes,,,,No,30.0,Female,
1084,Don't know,,,,No,34.0,Female,
1085,Yes,,,,No,32.0,Male,
1086,Don't know,,,,No,37.0,Male,
1087,Don't know,,,,No,41.0,Male,
1088,Yes,,,,No,38.0,Male,
1089,Yes,,,,No,32.0,Male,
1090,Yes,,,,No,28.0,Female,
1092,Yes,,,,No,43.0,Male,
1093,No,,,,No,32.0,Male,
1094,Yes,,,,No,25.0,Male,
1095,Yes,,,,No,37.0,Male,
1096,No,,,,No,36.0,Male,
1097,Don't know,,,,Yes,24.0,Male,
1098,Yes,,,,No,40.0,Male,
1099,Don't know,,,,No,29.0,Male,
1100,Don't know,,,,No,43.0,Male,
1101,Yes,,,,Yes,29.0,Male,
1102,Don't know,,,,No,26.0,Male,
1103,No,,,,Yes,33.0,Female,
1104,Don't know,,,,Yes,35.0,Female,
1105,Yes,,,,Yes,45.0,Male,
1106,No,,,,Yes,25.0,Male,
1107,No,,,,Yes,50.0,Male,
1108,No,,,,No,26.0,Male,
1109,Yes,,,,No,33.0,Female,
1110,No,,,,No,30.0,Male,
1111,Yes,,,,Yes,33.0,Male,
1112,Yes,,,,No,29.0,Male,
1113,No,,,,Yes,37.0,Male,
1114,Don't know,,,,Yes,25.0,Male,
1115,Yes,,,,No,40.0,Male,
1116,Yes,,,,No,24.0,Male,
1117,Don't know,,,,No,40.0,Male,
1118,Don't know,,,,No,46.0,Male,
1119,Yes,,,,No,38.0,Male,
1120,No,,,,Yes,34.0,Male,
1121,No,,,,No,32.0,Male,
1122,No,,,,No,44.0,Male,
1123,Don't know,,,,No,33.0,Female,
1124,Don't know,,,,No,45.0,Female,
1125,Don't know,,,,No,35.0,Male,
1126,No,,,,No,26.0,Male,
1127,Don't know,,,,Yes,20.0,Female,
1129,No,,,,No,37.0,Male,
1130,Yes,,,,No,28.0,Male,
1131,Yes,,,,No,42.0,Female,
1132,No,,,,No,32.0,Male,
1133,Yes,,,,Yes,36.0,Female,
1134,No,,,,No,27.0,Male,
1135,No,,,,No,27.0,Male,
1136,No,,,,No,27.0,Male,
1137,No,,,,Yes,25.0,Male,
1138,No,,,,No,41.0,Male,
1139,Don't know,,,,No,23.0,Male,
1140,Don't know,,,,No,21.0,Male,
1141,No,,,,No,26.0,Male,
1142,Don't know,,,,No,29.0,Male,
1143,No,,,,No,28.0,Male,
1144,No,,,,No,27.0,Female,
1145,No,,,,No,23.0,Male,
1146,Don't know,,,,Yes,26.0,Female,
1147,No,,,,No,38.0,Male,
1148,No,,,,No,39.0,Male,
1149,Yes,,,,No,35.0,Male,
1150,Yes,,,,No,32.0,Male,
1151,Yes,,,,No,32.0,Male,
1152,No,,,,No,26.0,Male,
1153,Don't know,,,,No,38.0,Male,
1154,Yes,,,,No,34.0,Female,
1155,Don't know,,,,No,39.0,Male,
1156,Don't know,,,,Yes,32.0,Male,
1157,Don't know,,,,Yes,37.0,Male,
1158,Don't know,,,,No,31.0,Male,
1159,No,,,,No,30.0,Male,
1160,Don't know,,,,Yes,51.0,Male,
1161,Yes,,,,No,29.0,Male,
1162,Yes,,,,No,31.0,Male,
1163,Don't know,,,,No,31.0,Male,
1164,Don't know,,,,Yes,26.0,Male,
1165,Yes,,,,Yes,46.0,Female,
1166,Yes,,,,No,32.0,Male,
1167,Yes,,,,No,29.0,Male,
1168,Don't know,,,,Yes,34.0,Male,
1169,No,,,,No,26.0,Male,
1170,Yes,,,,No,32.0,Female,
1171,Don't know,,,,No,29.0,Male,
1172,Yes,,,,No,30.0,Male,
1173,Yes,,,,No,40.0,Female,
1174,No,,,,No,23.0,Male,
1175,No,,,,No,20.0,Male,
1176,Don't know,,,,No,38.0,Male,
1177,Yes,,,,No,26.0,Female,
1178,No,,,,No,29.0,Male,
1179,No,,,,Yes,40.0,Male,
1180,No,,,,Yes,25.0,Female,
1181,Yes,,,,No,32.0,Female,
1182,Yes,,,,No,38.0,Male,
1183,Yes,,,,Yes,72.0,Female,
1184,No,,,,Yes,35.0,Female,
1185,No,,,,No,28.0,Female,
1186,Don't know,,,,No,27.0,Female,
1187,Don't know,,,,Yes,56.0,Female,
1188,Yes,,,,Yes,38.0,Male,
1189,Don't know,,,,No,31.0,Female,
1190,Yes,,,,No,40.0,Male,
1191,Yes,,,,No,44.0,Male,
1192,Yes,,,,No,34.0,Male,
1193,Don't know,,,,Yes,37.0,Male,
1194,Don't know,,,,No,38.0,Male,
1195,Don't know,,,,No,27.0,Male,
1196,Yes,,,,No,34.0,Female,
1197,Don't know,,,,No,35.0,Female,
1198,No,,,,No,34.0,Male,
1199,Yes,,,,Yes,32.0,Male,
1200,Don't know,,,,No,25.0,Male,
1201,No,,,,Yes,28.0,Male,
1202,Yes,,,,No,28.0,Female,
1203,No,,,,No,31.0,Male,
1204,Don't know,,,,No,24.0,Male,
1205,No,,,,Yes,34.0,Male,
1206,No,,,,No,32.0,Male,
1207,Don't know,,,,Yes,34.0,Male,
1208,No,,,,No,23.0,Male,
1209,No,,,,No,33.0,Male,
1210,Don't know,,,,No,29.0,Male,
1211,No,,,,No,24.0,Male,
1212,Don't know,,,,Yes,45.0,Male,
1213,No,,,,No,34.0,Female,
1214,Don't know,,,,No,31.0,Male,
1215,Yes,,,,Yes,33.0,Male,
1216,No,,,,No,28.0,Male,
1217,Don't know,,,,Yes,27.0,Male,
1218,No,,,,No,42.0,Male,
1219,No,,,,No,28.0,Male,
1220,Yes,,,,Yes,38.0,Male,
1221,Don't know,,,,No,46.0,Male,
1222,Don't know,,,,Yes,46.0,Male,
1223,Don't know,,,,Yes,41.0,Female,
1224,Don't know,,,,No,23.0,Male,
1225,Yes,,,,No,24.0,Male,
1226,No,,,,No,23.0,Female,
1227,Yes,,,,No,39.0,Male,
1228,Yes,,,,No,32.0,Female,
1229,Don't know,,,,No,25.0,Male,
1230,No,,,,Yes,39.0,Male,
1231,No,,,,No,23.0,Female,
1232,No,,,,Yes,24.0,Male,
1233,Yes,,,,No,25.0,Male,
1234,No,,,,No,23.0,Male,
1235,Don't know,,,,No,24.0,Others,
1236,Yes,,,,No,23.0,Male,
1237,Don't know,,,,Yes,60.0,Male,
1238,No,,,,No,28.0,Male,
1239,Yes,,,,No,28.0,Male,
1240,Don't know,,,,No,30.0,Male,
1241,Don't know,,,,No,31.0,Male,
1242,No,,,,Yes,31.0,Male,
1243,Don't know,,,,No,28.0,Male,
1244,Yes,,,,Yes,43.0,Female,
1245,No,,,,No,32.0,Female,
1246,Yes,,,,No,22.0,Male,
1247,Yes,,,,No,32.0,Male,
1248,No,,,,No,36.0,Male,
1249,Yes,,,,No,41.0,Female,
1250,Yes,,,,No,30.0,Male,
1251,Yes,,,,No,30.0,Male,
1252,No,,,,No,36.0,Male,
1253,Yes,,,,Yes,29.0,Male,
1254,Don't know,,,,No,36.0,Male,
1255,No,,,,No,26.0,Male,
1256,Yes,,,,Yes,32.0,Male,
1257,Yes,,,,No,34.0,Male,
1258,No,,,,Yes,46.0,Female,
1259,Yes,,,,No,25.0,Male,
1260,No,,,,No,41.0,Male,
1261,Don't know,No,No,,,39.0,Male,
1262,No,Yes,Yes,,,29.0,Male,
1263,No,No,No,,,38.0,Male,
1264,Don't know,Don't know,Yes,,,43.0,Male,
1265,Yes,No,Yes,,,43.0,Female,
1266,Yes,Yes,Yes,,,42.0,Male,
1267,Don't know,No,No,,,30.0,Male,
1268,Yes,Yes,Yes,,,37.0,Female,
1269,Don't know,No,Yes,,,44.0,Female,
1270,Don't know,Don't know,Yes,,,30.0,Male,
1271,Yes,Yes,Yes,,,28.0,Male,
1272,Yes,Don't know,Yes,,,34.0,Male,
1273,Yes,No,Yes,,,30.0,Female,
1274,Yes,Yes,Don't know,,,44.0,Male,
1275,Yes,Don't know,Yes,,,35.0,Male,
1276,Don't know,Don't know,Yes,,,52.0,Male,
1277,Don't know,No,Yes,,,32.0,Female,
1278,No,No,No,,,34.0,Male,
1279,Don't know,Don't know,Yes,,,25.0,Female,
1280,Don't know,No,Yes,,,31.0,Male,
1281,No,No,No,,,26.0,Male,
1282,Yes,Don't know,No,,,35.0,Male,
1283,Yes,No,No,,,25.0,Male,
1284,Yes,No,No,,,33.0,Male,
1285,Don't know,Don't know,No,,,38.0,Male,
1286,Yes,Yes,No,,,42.0,Male,
1287,No,No,Yes,,,27.0,Male,
1288,Don't know,No,Don't know,,,35.0,Male,
1289,Don't know,Yes,Don't know,,,34.0,Female,
1290,Don't know,No,Yes,,,32.0,Others,
1291,Don't know,No,Yes,,,32.0,Others,
1292,Yes,Yes,Yes,,,30.0,Male,
1293,Don't know,No,Don't know,,,31.0,Male,
1294,Don't know,Don't know,No,,,37.0,Male,
1295,Yes,Don't know,Yes,,,36.0,Male,
1296,No,Yes,No,,,33.0,Male,
1297,Yes,Yes,Yes,,,44.0,Male,
1298,No,No,Don't know,,,29.0,Male,
1299,No,No,Don't know,,,29.0,Male,
1300,Yes,Don't know,No,,,44.0,Male,
1301,Don't know,Don't know,Yes,,,34.0,Male,
1302,Yes,Don't know,Yes,,,40.0,Male,
1303,Yes,No,Yes,,,46.0,Others,
1304,Don't know,Don't know,Yes,,,28.0,Male,
1305,No,No,No,,,41.0,Male,
1306,Yes,Yes,Yes,,,33.0,Male,
1307,Don't know,Don't know,Yes,,,32.0,Male,
1308,Don't know,Don't know,Don't know,,,45.0,Male,
1309,Don't know,Don't know,Don't know,,,43.0,Male,
1310,Yes,No,Yes,,,37.0,Female,
1311,No,No,Yes,,,37.0,Male,
1312,Yes,No,No,,,27.0,Male,
1313,Don't know,Don't know,No,,,31.0,Male,
1314,Yes,Yes,Yes,,,36.0,Male,
1315,Yes,No,Don't know,,,34.0,Male,
1316,Yes,Yes,No,,,31.0,Female,
1317,Yes,Yes,Don't know,,,30.0,Male,
1318,Yes,Don't know,Don't know,,,32.0,Male,
1319,Yes,No,Don't know,,,40.0,Female,
1320,Don't know,No,No,,,40.0,Male,
1321,Yes,Yes,Don't know,,,41.0,Male,
1322,Don't know,No,Don't know,,,27.0,Male,
1323,Yes,No,No,,,30.0,Male,
1324,Don't know,Don't know,Don't know,,,29.0,Male,
1325,Don't know,Don't know,No,,,38.0,Male,
1326,Don't know,Don't know,No,,,35.0,Male,
1327,No,No,Yes,,,35.0,Female,
1328,Yes,Yes,Yes,,,29.0,Male,
1329,Yes,Don't know,No,,,28.0,Male,
1330,No,Don't know,Don't know,,,27.0,Male,
1331,Don't know,Don't know,No,,,39.0,Male,
1332,Yes,Don't know,No,,,28.0,Male,
1333,Don't know,No,No,,,46.0,Male,
1334,No,Don't know,No,,,40.0,Male,
1335,Yes,No,Don't know,,,37.0,Male,
1336,No,No,No,,,41.0,Male,
1337,Don't know,Don't know,Yes,,,19.0,Male,
1338,Don't know,No,No,,,38.0,Female,
1339,Don't know,Don't know,No,,,33.0,Male,
1340,Yes,Yes,Yes,,,33.0,Male,
1341,Yes,Don't know,No,,,21.0,Male,
1342,No,No,Yes,,,36.0,Male,
1343,Don't know,Don't know,Yes,,,39.0,Male,
1344,Don't know,Don't know,No,,,35.0,Male,
1345,Don't know,Don't know,Yes,,,36.0,Male,
1346,Yes,Don't know,Don't know,,,45.0,Male,
1347,Don't know,No,Don't know,,,41.0,Male,
1348,Don't know,Don't know,Yes,,,35.0,Male,
1349,Don't know,Don't know,Don't know,,,30.0,Male,
1350,Don't know,Yes,Yes,,,24.0,Female,
1351,No,No,No,,,33.0,Male,
1352,Yes,Yes,Don't know,,,35.0,Male,
1353,No,Don't know,Yes,,,26.0,Male,
1355,Don't know,No,Yes,,,29.0,Female,
1356,Yes,Don't know,Yes,,,26.0,Male,
1357,Don't know,Don't know,No,,,36.0,Female,
1358,Don't know,Don't know,No,,,46.0,Male,
1359,Don't know,Don't know,Yes,,,39.0,Male,
1360,Yes,No,Yes,,,28.0,Female,
1361,Yes,Don't know,No,,,40.0,Male,
1362,Don't know,No,Yes,,,23.0,Male,
1363,Don't know,No,No,,,30.0,Male,
1364,Don't know,Don't know,No,,,28.0,Others,
1365,No,No,Don't know,,,27.0,Male,
1366,Don't know,Don't know,Don't know,,,31.0,Male,
1367,Yes,No,Don't know,,,39.0,Female,
1368,Yes,Yes,Yes,,,34.0,Female,
1369,Yes,No,Yes,,,30.0,Male,
1370,Don't know,Don't know,Yes,,,30.0,Male,
1371,Don't know,Don't know,Don't know,,,31.0,Male,
1372,Yes,Yes,Yes,,,30.0,Male,
1373,Yes,Don't know,Don't know,,,32.0,Male,
1374,Don't know,Don't know,No,,,22.0,Male,
1375,Don't know,Don't know,Yes,,,37.0,Female,
1376,Yes,Yes,No,,,51.0,Male,
1377,Don't know,No,Yes,,,26.0,Male,
1378,Yes,Yes,No,,,41.0,Female,
1379,Don't know,Don't know,Yes,,,39.0,Female,
1380,Yes,No,Don't know,,,43.0,Male,
1381,Don't know,No,Don't know,,,30.0,Male,
1382,Yes,Don't know,No,,,24.0,Female,
1383,Don't know,Don't know,Yes,,,30.0,Male,
1384,No,No,Yes,,,28.0,Female,
1385,Don't know,Don't know,Yes,,,48.0,Female,
1386,Don't know,Don't know,Don't know,,,55.0,Female,
1387,Don't know,No,Don't know,,,36.0,Female,
1388,Don't know,Don't know,No,,,38.0,Male,
1389,Don't know,Don't know,No,,,34.0,Male,
1390,Yes,No,No,,,44.0,Female,
1391,Don't know,Don't know,Don't know,,,45.0,Male,
1392,Yes,Don't know,Don't know,,,45.0,Male,
1393,No,No,Yes,,,30.0,Male,
1394,Yes,Yes,Yes,,,34.0,Male,
1395,Don't know,Don't know,No,,,37.0,Male,
1396,Yes,Don't know,No,,,38.0,Male,
1397,Yes,Don't know,Don't know,,,31.0,Male,
1398,Don't know,Don't know,No,,,33.0,Male,
1399,Yes,Don't know,Yes,,,29.0,Female,
1400,Yes,Yes,Yes,,,35.0,Male,
1401,No,No,Yes,,,42.0,Others,
1402,Don't know,Don't know,No,,,26.0,Female,
1403,Yes,Don't know,Don't know,,,36.0,Female,
1404,Don't know,No,Yes,,,21.0,Male,
1405,Yes,No,Yes,,,34.0,Female,
1406,Don't know,Don't know,Don't know,,,40.0,Male,
